Question,Expected_answer,Generated_answer
What are the taxonomic characteristics of Parahalosydna capensis,"Parahalosydna capensis McIntosh, 1885, features an oblong body approximately 25 mm in length, with 15 pairs of elytra covering all but the last 4–6 segments. The prostomium has all three antennae originating terminally, similar to Lepidonotus; the lateral antennae are smooth and about half the prostomial length, while the median antenna's length is unknown. The anterior eyes are lateral and positioned roughly halfway back. The notopodium is well developed, with long, stout, finely serrated notosetae ending in sharply pointed tips. The neuropodium is elongated, with a pointed presetal lip; neurosetae are long, featuring weakly spinulose blades and bidentate tips, with a very small secondary tooth. Dorsal cirri are smooth, slightly swollen at the tips, and shorter than the neurosetae. This species is recorded from the Cape of Good Hope region.","Parahalosydna capensis has an oblong body about 25 mm long with 15 pairs of elytra covering all but the last 4–6 segments. All three antennae are terminal in origin; lateral antennae are smooth and two-thirds the prostomial length, median antenna unknown. Anterior eyes are lateral and halfway back. Dorsal cirri are smooth, slightly swollen distally, and shorter than neurosetae. Notopodium is well developed with numerous long, stout, minutely serrated notosetae. Neuropodium is long with a pointed presetal lip; neurosetae are long, weakly spinulose, and bidentate with a small secondary tooth. Support: Detailed morphological description is provided, including body shape, elytra, antennae, eyes, cirri, notopodium, and setae."
What are the taxonomic characteristics of Pseudopolynoe inhaca,"Pseudopolynoe inhaca, described by Day in 1951, features an elongate, tapered body up to approximately 45 mm long with around 78 segments. It has 16 pairs of elytra covering only the front half of the body. The rear segments are cirrigerous, with three longitudinal rows of fleshy dorsal tubercles. The prostomium is longer than wide, with lateral ceratophores that have basal constrictions. The median antenna is smooth, with a slight subterminal swelling, approximately twice the length of the prostomium, while the lateral antennae are shorter. The short, stout palps complement the head. The oval elytra are mottled grey with smooth margins, not large enough to cover the dorsal midline, and are mostly glabrous, aside from a few small marginal tubercles. The notosetae are few, weak, and spinulose at tapered tips. Neurosetae are stout with short blades and strongly bidentate tips. The antennae and cirri are smooth, featuring faint subterminal swellings. This species is only known from the Inhaca Island region of Mozambique.","Pseudopolynoe inhaca has an elongate, tapered body up to 45 mm long with 78 segments and 16 pairs of elytra covering the anterior half. The posterior segments are cirrigerous with three rows of fleshy dorsal tubercles. The prostomium is longer than broad, with smooth antennae (median longer than laterals), short stout palps, and oval elytra with smooth margins. Notosetae are few, weak, and spinulose; neurosetae are stout with short, strongly bidentate tips. Support: These features distinguish Pseudopolynoe inhaca within its genus and family, including elytra arrangement, setae structure, and prostomial appendages."
What are the taxonomic characteristics of Halosydna (Hyperhalosydna) alleni,"Halosydna (Hyperhalosydna) alleni Day, 1934 features a body length of up to approximately 35 mm with around 55 segments. It has 20–24 pairs of pale, mottled grey elytra that nearly reach the posterior end. The prostomium is rectangular, with both eye pairs positioned posteriorly and close together. All three antennae are terminal, with the median antenna slightly longer than the prostomium, and the lateral antennae about the same length as the prostomium. The elytra have smooth margins and a smooth, mottled surface. Neurosetae are large, mostly bidentate with short, spinulose blades; in the posterior parapodia of larger specimens, a single giant, unidentate neuroseta may be present, almost devoid of spinules. The notopodium is very small, bearing 2–4 minute, serrated to slender, tapered notosetae. Antennae and cirri are smooth, slightly swollen at the distal end, and banded before the terminal filament. Its geographic distribution includes South Africa, specifically Cape and Natal.","Halosydna (Hyperhalosydna) alleni is up to 35 mm long with 55 segments and 20–24 pairs of pale, mottled grey elytra extending almost to the end of the body. The prostomium is rectangular with both pairs of eyes on the posterior half, close together. All three antennae are terminal, the median slightly longer than the prostomium, laterals two-thirds its length. Antennae and dorsal cirri are smooth, slightly swollen distally, and banded before the terminal filament. Elytra have smooth margins and mottled surfaces. Notopodia are very small with 2–4 minute, serrated notosetae. Neurosetae are large, mainly bidentate with short spinulose blades; in posterior feet of large specimens, a single giant superior seta may be unidentate and nearly spinule-free. Type locality: False Bay, South Africa; distribution: endemic. Support: Detailed morphological description and distribution are provided in the context."
What are the taxonomic characteristics of Lepidasthenia mossambica,"Lepidasthenia mossambica Day, 1962, features a very long body, approximately 100 mm, with around 150 segments. Its dorsum displays regular brown cross-bars. The prostomium is rectangular and partly covered by a large occipital fold with a papillose edge. The first eyes are well positioned back and to the sides. The antennae are slender with faint subterminal swellings, with the median about twice the length of the prostomium, and the lateral antennae slightly shorter. Palps are very long. The elytra consists of 56 pairs, rounded and smooth, not large enough to cover the dorsal midline, extending nearly to the posterior end. Anteriorly, the elytra alternate with cirri regularly, becoming irregular posteriorly. Each elytron has a dark transverse bar from the elytrophore, which appears as a spot on the posterior elytra. Neurosetae are arranged in about 10 rows with spinules and blunt, unidentate tips, without superior slender neurosetae in the anterior parapodia and no giant neurosetae in the posterior parapodia. Dorsal cirri are tapered and reach the tips of the neurosetae. Bases of the anterior parapodia are papillose dorsally and ventrally. The notopodium is very small; notosetae are usually absent, except occasionally on the anterior feet. When present, they are few, with about 15 rows of spinules and blunt, nearly truncate tips. This species is known only from Mozambique, specifically the Inhaca Island region.","Lepidasthenia mossambica is characterized by an elongate, flattened body up to 100 mm long with 150 segments, regular brown cross-bars on the dorsum, a rectangular prostomium partly covered by a large occipital fold with a papillose margin, first pair of eyes well back and lateral, slender antennae (median twice prostomium length), very long palps, tapered dorsal cirri, 56 pairs of rounded, smooth elytra with a dark bar, papillose bases of anterior parapodia, small notopodia usually lacking setae, and neurosetae with 10 rows of spinules and blunt unidentate tips; no superior slender neurosetae in anterior feet and no giant neuroseta in posterior feet. Support: Detailed morphological features and setal characteristics are provided for identification."
What are the taxonomic characteristics of Lepidasthenia microlepis,"Lepidasthenia microlepis Potts, 1910. The body is ~25 mm long with ~65 segments; irregularly banded brown. The prostomium is large; anterior eyes lateral; median antenna ~1.5× prostomial length; lateral antennae slightly shorter. The elytra are nineteen pairs; the first pair large and brown; subsequent pairs decrease rapidly in size, becoming very small and colorless posteriorly, reduced to caps on the elytrophores; margins smooth. The neurosetae have short spinulose blades; bidentate tips with a secondary tooth nearly equal to and barely diverging from the terminal tooth. The cirri are pale, tapered, and longer than the neurosetae. The parapodia lack papillae. The notopodium is very small; notosetae absent. The geographical distribution is Indo–West Pacific; recorded from the Maldives, Mozambique, and South Africa (Natal).","Lepidasthenia microlepis is about 25 mm long with 65 segments, banded brown at intervals. It has a large prostomium with laterally situated anterior eyes, a median antenna 1.5 times the prostomium length, and slightly shorter lateral antennae. Dorsal cirri are pale, tapered, and longer than the neurosetae. There are 19 pairs of elytra: the first is large and brown, subsequent ones decrease in size and are colorless. Parapodia lack papillae; notopodia are very small and lack notosetae. Neurosetae have short spinulose blades with bidentate tips, the secondary tooth nearly equal to the apical one and hardly diverging. Support: The description includes body size, segment number, coloration, prostomium and eye arrangement, antennae, cirri, elytra, parapodia, notopodia, and neurosetae characteristics."
What are the taxonomic characteristics of Lepidasthenia elegans,"Lepidasthenia elegans Grube, 1840 features an elongate, flattened body reaching up to approximately 70 mm with around 100 segments. These segments are marked by purple transverse bars, and the elytra are speckled, bearing a white spot over the elytrophore. The prostomium is bilobed, with eyes set well back. The long, banded antennae have subterminal swellings, complemented by a small, smooth-margined nuchal fold. The elytra are small, rounded, and speckled, not large enough to cover the dorsum. Neurosetae include two to three slender superior setae in the anterior feet (sometimes absent) and numerous bidentate setae with short blades; the secondary tooth is noticeably smaller than the terminal tooth. A giant brown unidentate superior seta is present in the posterior feet, occasionally accompanied by additional unidentate setae. The dorsal cirri of anterior segments are long with subterminal swellings, while posterior dorsal cirri are short, barely exceeding the neuropodia. Parapodia lack papillae. The small notopodium generally lacks notosetae, although sometimes a weakly serrated seta may appear anteriorly. This species is sometimes found as a commensal in terebellid tubes. Its distribution includes the Mediterranean and Indo-West Pacific regions, with records from South Africa, Tropical Mozambique, and Madagascar.","Lepidasthenia elegans is characterized by an elongate, flattened body up to 70 mm long with about 100 segments, purple bars across most segments, and elytra speckled with a white spot over the elytrophore. The prostomium is bilobed with long, banded antennae, eyes set well back, and a small nuchal fold. Dorsal cirri on anterior segments are long with subterminal swellings; elytra are small, rounded, and leave most of the back uncovered. Parapodia lack papillae; notopodia are small with notosetae usually absent. Neurosetae include slender superior setae in anterior feet, numerous bidentate setae with a smaller secondary tooth, and a giant brown unidentate superior seta in posterior feet. Support: Detailed morphological features and setal types are described for identification."
What are the taxonomic characteristics of Lepidasthenia elegans,"Lepidasthenia elegans Grube, 1840 features an elongate, flattened body measuring up to approximately 70 mm with around 100 segments. It has purple transverse bars and elytra speckled with a white spot over the elytrophore. The prostomium is bilobed, with eyes set well back, long banded antennae with subterminal swellings, and a small smooth nuchal fold. The elytra are small, rounded, smooth, and speckled, not covering the dorsum. Notosetae are usually absent, but occasionally show weakly serrated setae anteriorly. Neurosetae include slender, often variable, superior setae on the anterior feet and numerous bidentate setae with a secondary smaller tooth; posterior feet have a large brown unidentate superior seta. The cirri are characterized by long anterior dorsal cirri with swellings and short posterior cirri. Parapodia lack papillae. Ecologically, it is sometimes found as a commensal in terebellid tubes. Its distribution includes the Mediterranean, Indo-West Pacific, South Africa, Mozambique, and Madagascar.","Lepidasthenia elegans is characterized by an elongate, flattened body up to 70 mm long with about 100 segments, purple bars across most segments, and elytra speckled with a white spot over the elytrophore. The prostomium is bilobed with long, banded antennae, eyes set well back, and a small nuchal fold. Dorsal cirri on anterior segments are long with subterminal swellings; elytra are small, rounded, and leave most of the back uncovered. Parapodia lack papillae; notopodia are small with notosetae usually absent. Neurosetae include slender superior setae in anterior feet, numerous bidentate setae with a smaller secondary tooth, and a giant brown unidentate superior seta in posterior feet. Support: Detailed morphological features and setal types are described for identification."
What are the taxonomic characteristics of Lepidasthenia maculata,"Lepidasthenia maculata Potts, 1910 features an elongate, flattened body up to approximately 70 mm long with around 100 segments. Most segments display purple transverse bars, except for alternate cirrigerous ones. The elytra each have a central dark spot, with about 30 pairs extending along the entire body but not covering the dorsal midline. The prostomium is bilobed with large eyes, and long, slender antennae lacking subterminal swellings. The nuchal fold is prominent, sometimes papillose. The elytra are smooth, oval, and extend the length of the body. Dorsal cirri are long, reaching beyond the tips of the neurosetae. The parapodia lack papillae; the notopodium is reduced to a small conical papilla, with rarely present notosetae. The large, bilabiate neuropodium is obliquely truncate; neurosetae are mainly bidentate, with a secondary tooth nearly as long as the terminal, giving a bifid appearance. Anterior parapodia also bear 2–4 long, fine superior setae with blunt tips, with no enlarged superior neurosetae posteriorly. This species is recorded as a commensal in burrows of Dasybranchus caducus and is found in the North Atlantic (Scotland, Azores, Morocco, possibly North Carolina) and the Indian Ocean (Zanzibar, Mozambique).","Lepidasthenia maculata is characterized by an elongate, flattened body up to 70 mm long with about 100 segments, purple bars across most segments, and elytra with a central dark spot. The prostomium is bilobed with long slender antennae lacking subterminal swellings, large eyes, and a prominent (possibly papillose) nuchal fold. There are about 30 pairs of smooth, oval elytra that do not cover the dorsum's center. Parapodia lack papillae; the notopodium is reduced to a conical papilla rarely bearing setae, while the neuropodium is large, bilabiate, and obliquely truncate. Neurosetae are mainly bidentate, with the secondary tooth nearly as long as the terminal one, giving a bifid appearance; anterior feet have 2–4 long, fine superior setae with blunt tips, and there is no enlarged superior seta in posterior feet. Support: Detailed morphological and setal characteristics, as well as elytra and prostomium features, are described for L. maculata."
What are the taxonomic characteristics of Eupanthalis kinbergi,"Eupanthalis kinbergi McIntosh, 1876 is characterized by an elongate body measuring up to approximately 130 mm and consisting of over 100 segments. The prostomium is bilobed, featuring four sessile eyes arranged in a rectangular pattern. It has a median antenna located postero-dorsally, with lateral antennae that are terminal and longer than the prostomium. The palps are notably long. The elytra are smooth and oval-shaped, with anterior pairs meeting over the dorsum and posterior pairs positioned laterally. Notosetae consist of a few serrated capillary setae, while neurosetae are organized into three groups: superior spinulose setae, stout aristate setae with tapered hairy ends in the middle, and inferior serrulate setae with curved, spiral-serrated blades. Dorsal cirri are short and conical. The feeding structures include jaws with 4–5 basal denticles and a proboscis with simple or bifid dorsal papillae and trilobed ventral papillae. Additional features include a spinning gland from segments 8–9 onward and the absence of branchial vesicles. Its distribution includes the North Atlantic, Mediterranean Sea, and records from Angola.","Eupanthalis kinbergi is characterized by a vermiform body with over 100 segments, a bilobed prostomium with four sessile eyes in a rectangle, three antennae (median postero-dorsal, laterals terminal and longer than prostomium), very long palps, jaws with 4–5 denticles at the base, simple or bifid dorsal papillae on the proboscis, short conical dorsal cirri, smooth oval elytra, a spinning gland from the 8th/9th notopodium, no branchial vesicles, compressed notopodium with few serrated capillaries, and a stout truncate neuropodium with three groups of setae: (a) superior spinulose, (b) stout aristate with hairy ends, (c) inferior serrulate with curved, spirally serrated blades. Support: These features distinguish Eupanthalis kinbergi within its genus and from related genera by the arrangement of eyes, antennae, absence of branchial vesicles, and the structure of setae and elytra."
What are the taxonomic characteristics of Polyodontes melanonotus,"Polyodontes melanonotus Grube, 1876 is a large, tubicolous species measuring up to approximately 300 mm. It has a stout front section and a flattened rear. The prostomium is elongated, strongly bilobed, with a raised median ridge. Its large, stalked, pear-shaped anterior eyes contrast with tiny, sessile posterior eyes located at the bases of ommatophores. The oval, smooth, brownish elytra feature margins that curl upward, forming shallow pockets, and do not meet across the back. Few very fine, minutely spinulose notosetae are present, along with a varied set of neurosetae including short, fine capillaries; long pseudopenicillate ‘‘paint-brush’’ setae; thick aristate setae with blunt or hairy subterminal ends; and slender, recurved, spirally serrated inferior setae. The parapodia show notopodia as anterior dorsal folds and very stout neuropodia. The species is tubicolous, burrowing in sandy mud. The first segment forms a small occipital fold, with the first parapodium elongated, directed forward, and bearing tentacular cirri and fine setae. The median antenna tapers to about the length of the prostomium; lateral antennae are slightly shorter and often hidden. The long, banded palps are positioned at the front. Internal coiled spinning glands open between noto- and neuropodia from around setiger 8 onward. Its distribution includes the Indo-Pacific, tropical West Africa (from Senegal to Congo), and records from Mozambique.","Polyodontes melanonotus is a large, elongate, tubicolous polychaete worm (up to 300 mm) with a bilobed prostomium, three antennae (median dorsal, laterals terminal), and stalked anterior eyes. It has branchial vesicles on anterior feet, numerous small elytra along the body, and three types of neurosetae (superior ""pseudopenicillate"", middle aristate, inferior spirally serrated). The notosetae are few, slender, and serrated. It belongs to the subfamily Polyodontinae (Aphroditidae) and is distinguished by its tube-building and scavenging habits. Support: Diagnostic features include body shape, head appendages, setae types, and presence of branchial vesicles; taxonomic placement is in Polyodontinae, Aphroditidae."
What are the taxonomic characteristics of Panthalis oerstedi capensis,"Panthalis oerstedi capensis McIntosh, 1925 is a species with a body length of up to approximately 120 mm. Its prostomium is small, with a long median antenna that extends forward beyond the eye stalks, while the lateral antennae are thicker than the median and each bears a brown spot. The elytra are smooth; the first pair covers the head but does not extend over most of the posterior dorsum. Notosetae are slender and minutely spinulose. The neurosetae are arranged in three groups: the superior group is unknown; the middle group consists of aristate setae; and the inferior group features serrated setae with hairy tips, the hairs arising from a base of long spinules. Geographically, this species is found in South Africa, with a record from the Eastern Cape based on a single specimen.","Panthalis oerstedi capensis is characterized by an elongate, vermiform, tubicolous body; a small prostomium with a median antenna extending forward beyond the eye-stalks; thicker lateral antennae each with a brown spot; smooth elytra covering the head but leaving most of the dorsum naked; slender, minutely spinulose notosetae; and neurosetae in three groups, with stout acicular setae and serrated setae with hairy tips. It can reach up to 120 mm in length. Support: These features distinguish it within the genus Panthalis, which lacks branchial tubercles and has specific arrangements of antennae and setae."
What are the taxonomic characteristics of Eunice siciliensis,"Eunice siciliensis Grube, 1840 is characterized by its very large body, reaching up to approximately 300 mm in length. The anterior part is tough and cylindrical, while the posterior is softer and flattened. The prostomium features a notched anterior margin between rounded palps; its antennae are short, rarely extending beyond the palps and often appear wrinkled in preserved specimens; tentacular cirri are smooth. Notosetae are absent, with no acicular or comb setae present. Neurosetae are composed of superior simple, narrow-winged capillaries with pilose blades, and inferior compound bidentate falcigers with short blades. Dorsal cirri are smooth. Juveniles (~25 mm) lack branchiae, which appear late in development, from about setiger 60 or beyond 100 in adults, where only one or two filaments are present. The large, gouge-shaped mandibles are often heavily calcified, and the maxillae have few large teeth with a maxillary formula of I 1+1, II (2–3)+(2–3), III 1+0, IV 1+1, V 1+1. The aciculae are slightly bent with blunt tips. The species is distributed in the Mediterranean, tropical Atlantic (including the Gulf of Mexico and western Africa), and the tropical Indo–West Pacific, with records from South Africa, Mozambique, and Madagascar.","Eunice siciliensis is characterized by a body up to 300 mm long, with a tough, cylindrical anterior and a soft, flattened posterior. The head has a notched anterior margin between rounded palps, short wrinkled antennae, and smooth tentacular cirri. Mandibles are large and gouge-shaped; maxillae have few large teeth (Mx. I = 1+1; Mx. II = 2-3+2-3; Mx. III = 1+0; Mx. IV = 1+1; Mx. V = 1+1). Gills are absent in small specimens and appear after the 60th setiger in adults, with at most two filaments. Acicula have slightly bent, blunt tips; superior setae are simple, narrow-winged capillaries with pilose blades, and inferior setae are compound bidentate falcigers with short blades. No acicular or comb-setae are present. Support: Detailed morphological and jaw formula characteristics are provided, including setae and gill development."
What are the taxonomic characteristics of Eunice cincta,"Eunice cincta Kinberg, 1865, has an elongate, rounded body up to ~120 mm long with a deeply bilobed anterior prostomium. Antennae are equal, about 1–5× prostomal length. Setae include yellow acicular with two blunt teeth, compound falcigerous with small bidentate blades, and comb setae. Small specimens (~25 mm) lack branchiae; adults (>50th setiger) have 1–2 filaments far posteriorly. The stout, pale brown acicula is blunt. The long peristomium bears tiny tentacular cirri. Found in South Pacific, Indian Ocean, West Africa, including South Africa.","Eunice cincta has a rounded anterior body, up to 120 mm long. The head's anterior margin is deeply bilobed, with subequal antennae 1–5 times the prostomial length. The peristomial segment is long with very small tentacular cirri. Branchiae are absent in small specimens but appear as 1–2 filaments on posterior segments in adults. Acicula are stout, pale brown, and bluntly pointed. Acicular setae are yellow with two small blunt teeth and small guards. Compound setae are falcigerous with small bidentate blades, and comb setae are present. Support: Detailed morphological features and setae types are described for Eunice cincta."
What are the taxonomic characteristics of Eunice schemacephala,"Eunice schemacephala Schmarda, 1861 features a body length of 70–90 mm, with a red coloration when alive and dark brown after preservation in alcohol. The prostomium has a deeply notched anterior margin between the palps. Setae include black, simple, very blunt acicular setae starting around setiger 40, without guards, and compound falcigers with short, triangular blades that are weakly bidentate and lack visible guards. The cirri consist of the first three to four pairs of dorsal cirri, which are twice as long as the parapodial lobe, with shorter posterior dorsal cirri and short ventral cirri on branchiferous segments. The tentacular cirri are as long as the peristomium with three weak joints, and the antennae are about twice the length of the peristomium, weakly articulated distally. Branchiae begin on setiger 5 with four filaments, increasing to eight, and persist posteriorly in reduced numbers. Mandibles have calcified, straight, dark cutting edges; maxillae are weakly chitinised and brown, with a maxillary formula of Mx I=1+1, Mx II=6+6, Mx III=10+0, Mx IV=9+12, Mx V=1+1. The aciculae are black, blunt-ended, usually two per parapodium in the mid-body. Geographically, this species is found in the Tropical West Indies, tropical East Africa (Mombasa), and has not been recorded from southern Africa.","Eunice schemacephala is 70–90 mm long, red when alive, dark brown in alcohol. The head has a deeply notched anterior margin between the palps. Antennae are twice as long as the peristome, weakly articulated distally. Tentacular cirri are as long as the peristome with three weak joints. Mandibles have calcified cutting edges and straight dark shafts; maxillae are weakly chitinised and brown, with the formula: Mx. I = 1+1; Mx. II = 6+6; Mx. III = 10+0; Mx. IV = 9+12; Mx. V = 1+1. The first 3–4 pairs of dorsal cirri are twice as long as the setigerous lobe, later ones are shorter. Gills start on setiger 5 as four filaments, increase to eight, and persist in reduced numbers to the end. Ventral cirri of branchiferous segments are short. Acicula are black with blunt ends, usually two per foot mid-body. Acicular setae start about setiger 40, are black, simple, very blunt, and lack"
What are the taxonomic characteristics of Eunice antennata,"Eunice antennata Savigny, 1820 features a body that is rounded at the front and somewhat flattened at the back, with recent specimens showing a median row of pale spots. The prostomium has a notched anterior margin between the palps. The setae include compound falcigers with two-toothed blades and two yellow, needle-like setae with tridentate tips and small apical teeth that can break, giving a bidentate look. Branchiae begin on setigers 4–7, rapidly increase to 10–18 filaments, then decrease mid-body, with potential increases toward the tail. The jaws are typical of eunicids, with maxilla II having 4–5 teeth. Each parapodium has two yellow acicula with bent, truncated, or bilobed tips. Antennae and tentacular cirri are deeply annulated. The species is found in the Red Sea, tropical Indo-Pacific regions, Gulf of Suez, southern California, Senegal, North Carolina, and has been recorded in South Africa (Cape, Natal), Mozambique, and Madagascar.","Eunice antennata has a body rounded anteriorly and somewhat flattened posteriorly, with a median row of pale spots when fresh. The head is notched between the palps. Jaws are normal with four to five teeth on maxilla 2. Antennae and tentacular cirri are deeply annulated. Gills start on the fourth to seventh foot, rapidly reaching 10–18 filaments, decreasing in the middle of the body, and may increase again near the end. Falcigerous compound setae have bidentate blades. There are two yellow acicula with bent, truncate to bilobed tips, and two yellow acicular setae with tridentate tips and guards; the apical tooth is small and may appear bidentate if broken. Support: Detailed morphological and setal characteristics are provided for identification."
What are the taxonomic characteristics of Eunice australis,"Eunice australis Quatrefages, 1865, is characterized by a body length of 50–70 mm. It has a reddish-brown coloration with pale bars on the tentacular segment and fifth setiger. Posterior segments display white median spots. The prostomium features a deeply notched anterior margin between the palps. Acicular, yellow, tridentate setae with small guards are present, typically two to four per parapodium from about setiger 30 onward. The anterior dorsal cirri are stout, weakly annulated, and brown-barred. The branchiae usually begin between setigers 3–8 (commonly 6–7), increase rapidly to approximately 18 slender filaments, then decrease and end around the mid-body or slightly posterior. The acicula are yellow with curved tips. The antennae and tentacular cirri are deeply annulated; the median antenna is long, about twice the peristomial breadth, and tentacular cirri are annulated and brown-barred. Its distribution includes the Red Sea, tropical Indian Ocean, Australia, New Zealand, and recorded locations in South Africa (Cape, Natal), Mozambique, and Madagascar.","Eunice australis is 50–70 mm long, reddish brown with pale bars and white median spots. The head has a deeply notched anterior margin between the palps. Antennae are deeply annulated, with the long median antenna twice the breadth of the peristome. Tentacular cirri are annulated and barred with brown. Gills begin between the 3rd and 8th foot (usually 6th–7th), reaching up to 18 slender filaments, then decrease mid-body. Anterior dorsal cirri are stout, barred with brown, and weakly annulated. Acicula are yellow with curved tips. Acicular setae are yellow, tridentate with small guards, and number two to four per parapodium after the 30th foot. Support: Detailed morphological description is provided, including coloration, head structure, antennae, cirri, gills, acicula, and setae."
What are the taxonomic characteristics of Eunice vittata,"Eunice vittata Delle Chiaje, 1825, is approximately 50 mm long, with anterior segments featuring red-brown transverse bars that fade in alcohol. Its prostomium has a shallow notch at the anterior margin between broad palps, creating a rounded profile. The yellow acicular setae are tridentate with a small apical tooth, and posterior feet may have one or two such setae. The compound falcigers have bidentate blades and long, tapered guards. Branchiae begin on setiger 3, increasing to 10–20 filaments by about setiger 20 and ending around setiger 45. The jaws follow a maxillary formula: Mx I = 1+1; Mx II = 9+10; Mx III = 9+0; Mx IV = 10+13; Mx V = 1+1. The yellow acicula are faintly curved with blunt tips. Antennae are long, approximately 1.5 times the prostomial breadth, weakly annulated distally. The tentacular cirri and first 5–6 dorsal cirri are very long and tapered. Geographically, this species is found in the Atlantic (from the English Channel to tropical West Africa), the Mediterranean, southern California, eastern Japan, and has been recorded from South Africa (Cape, Natal) and Madagascar.","Eunice vittata is about 50 mm long, with a head shallowly notched between broad palps and a rounded anterior margin. The long antennae are about 1.5 times the prostomial breadth and indistinctly ringed distally. Tentacular cirri and the first five to six pairs of dorsal cirri are very long and tapered. The maxillary formula is: Mx. I = 1+1; Mx. II = 9+10; Mx. III = 9+0; Mx. IV = 10+13; Mx. V = 1+1. Anterior segments have red-brown bars. Branchiae start on setiger 3, reach 10–20 filaments by setiger 20, and end about setiger 45. Posterior feet have one or two acicular setae. Acicula are yellow with faintly curved, blunt tips. Acicular setae are yellow, tridentate with a small apical tooth. Falcigerous compound setae have bidentate blades with long pointed guards. Support: Detailed morphological and jaw formula characteristics are provided, including head shape, cirri, branchiae, and setae types. Citations"
What are the taxonomic characteristics of Eunice indica,"Eunice indica Kinberg, 1865, has a body about 50 mm long. The prostomium is small, with largely fused palps and a faintly notched anterior margin. The setae comprise compound falcigers that are bidentate with long, pointed, striated guards; acicular setae are yellow, strongly tridentate with distinct guards, and can be up to four per parapodium in the posterior segments. Anterior dorsal cirri are not elongated, measuring at most approximately 1.5 times the parapodial length. Branchiae begin on setiger 3 or 4, increasing rapidly to 10–15 filaments, and are limited to the anterior region. Jaws are pale with numerous teeth, with a maxillary formula: Mx I = 1+1; Mx II = 9–11 + 8–11; Mx III = 8–11 + 0; Mx IV = 7–10 + 13. The acicula are yellow, blunt, and nearly straight. Antennae are smooth and long, reaching around setiger 7, while tentacular cirri are long and slender. The geographical distribution includes the Red Sea, tropical Indo-West Pacific, and records from Mozambique, Madagascar, and an uncertain record from South Africa.","Eunice indica is about 50 mm long, with a small head where the palps are mainly fused, giving a faintly notched anterior margin. It has long, smooth antennae reaching back to setiger 7, long slender tentacular cirri, and pale jaws with numerous teeth. The maxillary formula is: Mx. I = 1+1; Mx. II = (9–11)+(8–11); Mx. III = (8–11)+0; Mx. IV = (7–10)+13. Anterior dorsal cirri are not elongated, branchiae start from setiger 3 or 4, rapidly increase to 10–15 filaments, and are restricted to the anterior body. Acicula are almost straight, yellow, and blunt. Compound setae are bidentate with long pointed guards, and acicular setae are yellow, boldly tridentate, with four per foot in posterior feet. Support: Detailed morphological and taxonomic features are provided, including head structure, setae, branchiae, and jaw formula."
What are the taxonomic characteristics of Eunice tubifex,"Eunice tubifex Crossland, 1904, is characterized by a very large, elongated body reaching up to approximately 400 mm in length. The anterior part is rounded, while the posterior part is flattened. It inhabits permanently a tough, branching, parchment-like tube with multiple openings. The prostomium features a deeply notched anterior margin between the palps. The brown, bidentate acicular setae have small guards, whereas the compound setae are knife-shaped anteriorly, falcigerous, and bidentate posteriorly, with both types present in the mid-body. Branchiae begin between setigers 20 and 35 (size dependent); usually three filaments are present, up to five, and are slightly reduced posteriorly. The mandibles are strong and calcified, with well-developed maxillae; the maxillary formula is: Mx I = 1+1, Mx II = 6+6, Mx III = 6+0, Mx IV = 3+8, Mx V = 1+1. The brown acicula have simple, blunt tips. The five antennae are smooth to slightly wrinkled, reaching back to setiger 2, while the short, smooth tentacular cirri are also present. An anterior glandular ridge below the setigerous lobe in the parapodia bears brown glands. It is distributed in tropical Indo-West Pacific regions, recorded from South Africa (Natal), Mozambique, and Madagascar.","Eunice tubifex is an elongate worm up to 400 mm, rounded anteriorly and flattened posteriorly, living in a tough, branching parchment-like tube. The head is deeply notched between the palps, with five smooth or slightly wrinkled antennae reaching back to setiger 2. It has strong, calcified mandibles and well-developed maxillae (dental formula: Mx. I = 1+1; Mx. II = 6+6; Mx. III = 6+0; Mx. IV = 3+8; Mx. V = 1+1). Tentacular cirri are short and smooth. Branchiae start on setiger 20–35, usually with three filaments, decreasing posteriorly. Acicula are brown with blunt tips; acicular setae are brown, bidentate with small guards. Compound setae are knife-shaped anteriorly, falcigerous and bidentate posteriorly. Support: Detailed morphological and taxonomic features are described, including body form, head structure, jaw and setal characteristics, and branchiae arrangement."
