Question,Expected_answer,Generated_answer,Citations
"If the diagnostic characters are as follows The body About 50 mm long; anterior segments with red-brown transverse bars that fade in alcohol. The prostomium Anterior margin shallowly notched between broad palps, giving a rounded outline. The setae Acicular setae yellow, tridentate with a small apical tooth; posterior feet with one or two acicular setae; compound falcigers with bidentate blades and long pointed guards. The branchiae Begin on setiger 3; increase to 10 to 20 filaments by about setiger 20; end around setiger 45. The jaws Maxillary formula Mx I = 1+1; Mx II = 9+10; Mx III = 9+0; Mx IV = 10+13; Mx V = 1+1. The acicula Yellow, with faintly curved, blunt tips. The antennae and tentacular cirri Antennae long (â1.5 times prostomial breadth), weakly annulated distally; tentacular cirri and first 5 to 6 dorsal cirri very long and tapered. Identify the polychaete species.",Eunice vittata,Eunice vittata,[chunk_000199]
"If the diagnostic characters are as follows The body About 50 mm long. The prostomium Small; palps largely fused, anterior margin only faintly notched. The setae Compound falcigers bidentate with long pointed, striated guards; acicular setae yellow, strongly tridentate with distinct guards, up to four per parapodium in posterior feet. The cirri Anterior dorsal cirri not elongated, at most ~1.5 times parapodial length. The branchiae Begin on setiger 3 or 4; increase rapidly to 10 to 15 filaments; restricted to the anterior region. The jaws Pale with numerous teeth; maxillary formula Mx I = 1+1; Mx II = 9 to 11 + 8 to 11; Mx III = 8 to 11 + 0; Mx IV = 7 to 10 + 13. The acicula Yellow, blunt, almost straight. The antennae and tentacular cirri Antennae smooth and long, reaching back to about setiger 7; tentacular cirri long and slender. Identify the polychaete species.",Eunice indica,"Eunice indica Kinberg, 1865",[chunk_000200]
"If the diagnostic characters are as follows The body Very large, elongate; up to ~400 mm long; anterior region rounded, posterior region flattened; lives permanently in a tough, branching, parchment-like tube with multiple openings. The prostomium Anterior margin deeply notched between the palps. The setae Acicular setae brown, bidentate, with small guards; compound setae knife-shaped anteriorly, falcigerous and bidentate posteriorly, with both types present in mid-body. The branchiae Begin between setigers 20 to 35 (size dependent); up to five filaments, usually three; slightly reduced posteriorly. The jaws Mandibles strong and calcified; maxillae well developed; maxillary formula Mx I = 1+1, Mx II = 6+6, Mx III = 6+0, Mx IV = 3+8, Mx V = 1+1. The acicula Brown, with simple blunt tips. The antennae and tentacular cirri Five antennae, smooth to slightly wrinkled, reaching back to setiger 2; tentacular cirri short and smooth. The cirri  glands Anterior parapodia bear a brown glandular ridge below the setigerous lobe. Identify the polychaete species.",Eunice tubifex,Eunice tubifex,[chunk_000201]
"If the diagnostic characters are as follows The body Large, 100 to 200 mm long; inhabits a parchment-like tube with older tube openings visible as closed scars along the sides. The prostomium Anterior margin deeply notched between the palps. The setae Acicular setae black, bidentate, with small guards; compound setae all falcigerous and bidentate, with rounded guards. The cirri Anterior dorsal cirri very long and smooth; posterior dorsal cirri shorter. The branchiae Begin on setigers 7 to 10; with 4 to 8 filaments; persist without reduction to the posterior end. The jaws Maxillary formula Mx I = 1+1; Mx II = 5+5; Mx III = 7 to 10+0; Mx IV = 3 to 5+7 to 10; Mx V = 1+1. The acicula Black, with blunt tips. The antennae and tentacular cirri Antennae very long, tapered, indistinctly jointed distally, about twice the peristomial width; tentacular cirri long and smooth, reaching the anterior margin of the palps. Identify the polychaete species.",Eunice norvegica,Eunice norvegica,[chunk_000202]
"If the diagnostic characters are as follows The body Up to ~150 mm long (South African specimens usually â¤50 mm). The prostomium Anterior margin notched between the palps. The setae Acicular setae yellow, bidentate, with guards; compound setae with bluntly pointed guards. The cirri Ventral cirri well developed. The branchiae Begin on setigers 3 to 5; increase to?12 filaments; end around setiger 40. The jaws Numerous teeth; maxillary formula Mx I = 1+1; Mx II = 6 to 8 + 7 to 10; Mx III = 8 to 12 + 0; Mx IV = 5 to 9 + 8 to 12; Mx V = 1+1 (small chitinised areas). The acicula Yellow. The antennae and tentacular cirri Antennae long, weakly annulated; tentacular cirri smooth and as long as the peristomium. Identify the polychaete species.",Eunice pennata,Eunice pennata,[chunk_000203]
"If the diagnostic characters are as follows The body Copper-red; about 120 mm long. The prostomium Anterior margin shallowly notched between the palps. The setae Acicular setae black, bidentate; compound falcigers with short, almost triangular blades bearing weak teeth. The branchiae Restricted to the anterior third of the body; first filament appears on setigers 5 to 9; increase to as many as ~10 slender filaments between setigers 12 to 21. The acicula Black, blunt. The antennae and tentacular cirri Antennae smooth; median antenna longest, about equal to the peristomial width; tentacular cirri extend forward beyond the prostomial to peristomial junction. Identify the polychaete species.",Eunice coccinea,"Eunice coccinea Grube, 1878",[chunk_000204]
"If the diagnostic characters are as follows The body Very large; up to ~560 mm long and ~20 mm wide; brownish-purple; head and peristome white with a distinct white band on setiger 4. The prostomium Deeply notched between large palps. The setae Acicular setae black, bidentate with small guards (sometimes absent); compound setae falcigerous with two well-developed teeth and rounded guards. The cirri Dorsal cirri stout, thicker than branchial filaments. The branchiae Begin on setigers 6 to 10; increase to a maximum of ~20 filaments; gradually decrease toward posterior end. The acicula Black, pointed. The antennae and tentacular cirri Antennae slightly tapered; median antenna about twice prostomial length, not annulated (often wrinkled in preservation); tentacular cirri smooth, shorter than peristome. Identify the polychaete species.",Eunice aphroditois,Eunice aphroditois,[chunk_000205]
"If the diagnostic characters are as follows The body Large; ~100 to 250 mm long; reddish brown, often with a distinct white bar on setiger 4. The prostomium Anterior margin deeply notched between the palps. The setae Acicular setae black, bidentate with small guards; compound setae falcigerous, bidentate with two well-developed teeth and rounded guards. The cirri Dorsal cirri jointed. The tentacular cirri Jointed; as long as the peristome. The antennae Long and distinctly jointed. The branchiae Begin on setiger 3; increase to >10 filaments (shorter than dorsal cirri); decrease posteriorly. The acicula Black. Identify the polychaete species.",Eunice torquata,Eunice torquata,[chunk_000206]
"If the diagnostic characters are as follows The body Large; up to ~350 mm long and ~15 mm wide; reddish brown, often with a white collar on setiger 4. The prostomium Anterior margin deeply notched between the palps. The setae Acicular setae bidentate with small guards; compound setae falcigerous, bidentate with two strong teeth and rounded guards. The cirri First three dorsal cirri pairs very long (about twice parapodial length); posterior dorsal cirri shorter. The branchiae Begin on setiger 3 to 4; increase to 6 filaments by setiger 6; reach 6 to 20 filaments; decrease gradually toward posterior end. The acicula Black, blunt-ended. The maxillae Strong; maxillary formula Mx I = 1+1; Mx II = 6+5; Mx III = 6+0; Mx IV = 6+7; Mx V = 1+1. The antennae  tentacular cirri Long and deeply annulated. Identify the polychaete species.",Eunice tentaculata,Eunice tentaculata,[chunk_000207]
"If the diagnostic characters are as follows The body Large; ~150 to 230 mm long. The prostomium Anterior margin notched between the palps. The cirri Anterior dorsal cirri longer than the branchiae. The branchiae Begin on setiger 3; rapidly increase to a maximum of ~8 filaments; gradually decrease posteriorly. The maxillae Maxillary formula Mx I = 1+1; Mx II = 5+5; Mx III = 7+0; Mx IV = 6+9. The antennae  tentacular cirri Antennae long, weakly ringed; peristomial segment elongate with smooth, slender tentacular cirri. The acicula  setae Acicula and acicular setae brown; acicular setae bidentate with small guards. Identify the polychaete species.",Eunice grubei,"Eunice grubei Gravier, 1900",[chunk_000208]
"If the diagnostic characters are as follows The body About ~120 mm long. The prostomium Anterior margin deeply notched between the palps. The branchiae Begin on setiger ~26; up to three filaments; extend to posterior end. The maxillae Maxillary formula Mx I = 1+1; Mx II = (4 to 5)+(3 to 4); Mx III = (5 to 4)+(6 to 8); Mx IV = (3 to 7)+0. The antennae  tentacular cirri Antennae short, slender, smooth to wrinkled; peristome elongate; tentacular cirri about half the peristomial length. The acicula  setae Acicula brownish with distinctive fist-shaped terminal knobs; acicular setae brown, bidentate with recurved teeth and large guards; compound setae bidentate with well-developed teeth and rounded guards. Identify the polychaete species.",Eunice filamentosa,Eunice filamentosa,[chunk_000209]
"If the diagnostic characters are as follows The body Large, elongate; up to ~350 mm; flattened posterior to the anterior segments. The prostomium Anterior margin deeply bilobed. The setae All setae simple capillaries with very narrow, striated blades; comb-setae absent. The antennae Smooth; about 1.5 times prostomial length. The branchiae Appear on setiger ~25 to 33 (size-dependent); increase to 6 to 8 filaments; persist to posterior end. The acicula Yellow to black, straight with blunt tips. The acicular setae Pale, bidentate, about half the thickness of acicula; absent from some parapodia. Identify the polychaete species.",Marphysa mossambica,Marphysa mossambica,[chunk_000210]
"If the diagnostic characters are as follows The body Slender, cylindrical in section; up to ~100 mm long. The prostomium Anterior margin bilobed. The setae Superior setae include capillaries and asymmetrical comb-setae with numerous teeth; inferior setae compound, including spinigers and long-bladed bidentate falcigers (falcigers more common anteriorly). The antennae Smooth; longer than the prostomium. The branchiae Begin on setiger ~10 to 25 (size-dependent); with 2 to 4 filaments at maximum; gradually decrease posteriorly. The acicula Three per parapodium anteriorly, reduced to two posteriorly; shafts dark brown to black with pale tips. The acicular setae Pale distally, bluntly bidentate, with small guards. Identify the polychaete species.",Marphysa depressa,"Marphysa depressa Schmarda, 1861",[chunk_000211]
"If the diagnostic characters are as follows The body Stout, oval in section; up to ~250 mm long. The prostomium Anterior margin bilobed. The setae Superior setae include winged capillaries and numerous comb-setae with coarse teeth; inferior setae compound, spinigerous. The cirri Dorsal cirri about as long as the setigerous lobes. The antennae Smooth; nearly twice the prostomial length. The branchiae Begin on setiger ~16 to 30; up to 4 to 7 filaments; decreasing posteriorly. The acicula Two to three, black, blunt-tipped. The acicular setae Pale, bidentate with small guards in adults; guards larger in juveniles. Identify the polychaete species.",Marphysa sanguinea,"Marphysa posterobranchia Day, 1962",[chunk_000217]
"If the diagnostic characters are as follows The body Slender, rounded to slightly flattened; over ~200 mm long. The prostomium Palps partially fused; anterior margin not distinctly bilobed; eyes indistinct. The setae Superior setae winged capillaries and comb-setae; inferior setae compound with knife-shaped blades, often deeply retracted and appearing simple. The antennae Smooth; about equal to prostomial length. The branchiae Appear on setiger ~20 to 50 (size-dependent); up to 6 filaments; decreasing posteriorly. The jaws Mandibles normal; maxillary formula Mx I 1+1, Mx II 7+7, Mx III 7+0, Mx IV 3+8, Mx V reduced to chitinised areas without teeth. The acicula Brown with pale tips; blunt; three anteriorly, reducing to one mid-body. The acicular setae Single brown seta with a simple blunt tip. Identify the polychaete species.",Marphysa macintoshi,"Marphysa macintoshi Crossland, 1903",[chunk_000213]
"If the diagnostic characters are as follows The body About ~80 mm long. The prostomium Palps completely fused; anterior margin rounded. The setae Superior setae winged capillaries and comb-setae; inferior setae falcigerous, bidentate with divergent teeth and rounded guards. The cirri Dorsal cirri short and conical anteriorly; bifurcate in branchial region (diagnostic character). The antennae Short, smooth; about half the prostomial length. The branchiae From setiger ~22 to posterior end; up to 4 to 5 filaments; filaments arise directly from dorsum (no axial stem). The acicula Three brown acicula with pale blunt tips anteriorly, reduced to one posteriorly. The acicular setae Brown, yellowish distally; minutely bidentate; lacking guards. Identify the polychaete species.",Marphysa bifurcata,"Marphysa bifurcata Kott, 1951",[chunk_000214]
"If the diagnostic characters are as follows The body ~60 mm long; oval in cross-section; prostomium with a brown bar; anterior body with reddish-brown pattern. The prostomium Bilobed anterior margin. The setae Ventral setae compound, falcigerous, with two large teeth. The cirri Dorsal cirri equal to setigerous lobe prebranchially; equal to branchial filaments in branchial region; much longer than setigerous lobe post-branchially. The antennae Short, smooth; about equal to prostomial length. The branchiae Begin on setiger 8 with four filaments; increase to ~18 filaments by setiger 18; decrease and end around setiger 28. The jaws Maxillary formula Mx I = 1+1; Mx II = 5+5; Mx III = 5+0; Mx IV = 3+8. The acicula Yellow, blunt. Identify the polychaete species.",Marphysa purcellana,"Lysidice collaris Grube, 1870",[chunk_000221]
"If the diagnostic characters are as follows The body Slender, rounded in cross-section; up to ~70 mm long with ~200 segments; no colour markings. The prostomium Anterior margin smoothly rounded. The setae Superior setae narrow-winged capillaries and comb-setae with 5 to 10 teeth; inferior setae compound falcigers with long, narrow bidentate blades. The antennae Tapered, not annulated; median antenna slightly longer than prostomium. The branchiae Appear abruptly around setigers 15 to 19; end ~20 segments later; each branchia large, pectinate, with 8 to 10 long filaments arising from a short dorsal cirrus. The jaws Weakly chitinised; maxillary formula Mx I = 1+1; Mx II = 7+8; Mx III = 7+0; Mx IV = 7+11; Mx V = chitinous plates without teeth. The acicula Pale, blunt; three anteriorly, reduced to one over most of body. The acicular setae Single pale seta from setigers ~35 to 40 onwards; bidentate with small terminal tooth and guards. Identify the polychaete species.",Marphysa adenensis,"Marphysa adenensis Gravier, 1900",[chunk_000216]
"If the diagnostic characters are as follows The body Slender, rounded in cross-section; ~30 mm long. The prostomium Anterior margin bilobed. The setae Superior setae winged capillaries and comb-setae with 8 to 15 teeth; inferior setae compound falcigers with two strong teeth. The cirri Dorsal cirri well developed anteriorly, smaller than branchiae posteriorly. The antennae Smooth to weakly wrinkled; slightly longer than prostomium. The branchiae Simple filaments restricted to posterior segments; appear after setiger ~55 (juveniles) and best developed on last few segments (adults). The jaws Pale; maxillary formula Mx I = 1+1; Mx II = 4+4; Mx III = 6+0; Mx IV = 5+10. The acicula Blunt; pale in juveniles, black in adults; appear from ~setiger 30. Identify the polychaete species.",Marphysa posterobranchia,"Marphysa posterobranchia Day, 1962",[chunk_000217]
"If the diagnostic characters are as follows The body Up to ~150 mm long, ~10 mm wide; roughly oval in cross-section; brown with slightly darker peristome. The prostomium Anterior margin bilobed. The setae Superior setae winged capillaries and comb-setae; inferior setae falcigerous with rounded guards. The antennae Smooth; extend back to the first setiger. The branchiae Begin on setiger 12 to 30 (size-dependent); extend almost to posterior end; up to four filaments. The jaws Maxillary formula Mx I = 1+1; Mx II = 3+4; Mx III = 4+0; Mx IV = 3+6; Mx V = 1+1. The acicula Black, bluntly pointed. The acicular setae Black, unidentate, without guards. Identify the polychaete species.",Marphysa capensis,Marphysa capensis,[chunk_000218]
"If the diagnostic characters are as follows The body Very long, up to ~300 mm; anterior region rounded, posterior region flattened. The prostomium Anterior margin bilobed. The setae Superior comb-setae with 20 to 25 teeth; inferior setae compound and falcigerous. The antennae Smooth; about 1.5 times prostomial length. The branchiae Begin on setiger 20 to 50 (size-dependent); up to six filaments at maximum; continue to posterior end with reduced filaments. The acicula Dark with pale, blunt tips. The acicular setae Pale, bidentate, with small guards. Identify the polychaete species.",Marphysa corallina,Marphysa corallina,[chunk_000219]
"If the diagnostic characters are as follows The body Up to ~100 mm long and ~5 mm wide; brown with minute white spots. The prostomium Anterior margin white and bilobed; pair of reniform black eyes just external to lateral antennae. The setae Superior limbate capillaries and comb-setae; inferior setae compound with short falcigerous blades. The parapodia Dorsal cirrus conical; setigerous lobe truncate; ventral cirrus rounded anteriorly, posteriorly merging with glandular ventral pad. The antennae White, slightly tapered, about equal to prostomial length. The jaws Mandibles heavy, gouge-shaped, strongly calcified; maxillary formula Mx I = 1+1, Mx II = 3+3 (teeth very robust), Mx III = (2 to 3)+0, Mx IV = 2+(4 to 8), Mx V = 1+1. The acicula Black with blunt tips. The acicular setae Appear from ~setiger 20; brown, bidentate, with small guards. Identify the polychaete species.",Lysidice natalensis,"Lysidice natalensis Kinberg, 1865",[chunk_000220]
"If the diagnostic characters are as follows The body Up to ~75 mm long. The prostomium Anterior margin bilobed; eyes reniform. The setae Superior limbate capillaries and comb-setae; inferior setae bidentate falcigers. The parapodia Short conical dorsal cirrus set high above the broad setigerous lobe; ventral cirrus papilliform, becoming indistinct from the glandular ventral pad after ~setiger 30. The antennae Tapered, slightly longer than the prostomium. The jaws Mandibles gouge-shaped, partly calcified; maxillary formula Mx I = 1+1, Mx II = (4 to 5)+4, Mx III = (3 to 5)+0, Mx IV = 2+5, Mx V reduced to chitinised areas. The acicula Brown shafts with blunt ends. The acicular setae Appear from ~setiger 20; brown, with blunt, minutely bilobed tips. Identify the polychaete species.",Lysidice collaris,"Lysidice collaris Grube, 1870",[chunk_000221]
"If the diagnostic characters are as follows The body Up to ~150 mm long; reddish with white punctuations and white transverse bars on setigers 2 and 5. The prostomium Anterior margin bilobed; eyes large, black, and oval. The setae Superior limbate capillaries and comb-setae; inferior compound falcigers with bidentate blades. The parapodia Dorsal cirri digitiform, as long as the compressed, truncate setigerous lobes; ventral cirri papilliform with swollen bases. The antennae Subequal, shorter than the prostomium. The jaws Mandibles heavy and gouge-shaped; maxillary formula Mx I = 1+1, Mx II = 4+4, Mx III = 4+0, Mx IV = 4+4, Mx V reduced to chitinised patches. The acicula Dark. The acicular setae Appear from ~setiger 20; bidentate with guards. Identify the polychaete species.",Lysidice ninetta,"Lysidice ninetta Audouin & Milne Edwards, 1833",[chunk_000222]
"If the diagnostic characters are as follows The body Slender, up to ~60 mm long; enclosed in an erect, tough, translucent tube that may be annulated or spirally twisted but is always attached. The prostomium With subulate frontal antennae and five smooth occipital antennae of normal length; antennae borne on ceratophores with 5 to 7 rings; inner lateral ceratophores sometimes bearing short stumpy projections. The setae Pseudocompound setae on setigers 1 to 4 strongly bidentate with well-developed hoods; comb setae with ~12 teeth from setiger 6; two bidentate acicular setae appear a few segments later. The parapodia Setigers 1 to 3 with subulate dorsal cirri, low presetal lips, postsetal lobes with an inferior papilla, and subulate ventral cirri; in posterior segments ventral cirri become glandular pads and postsetal lobes are reduced to papillae. The branchiae Poorly developed; 2 to 5 pairs present on setigers 4 to 9. The jaws Pale and weakly chitinised; maxillary formula Mx I = 1 + 1; Mx II = 8 + 7; Mx III = 7 + 0; Mx IV = 6 + 10. Identify the polychaete species.",Epidiopatra gilchristi,"Epidiopatra gilchristi Day, 1960",[chunk_000223]
"If the diagnostic characters are as follows The body Slender, up to ~30 mm long; anterior region brownish with a dark spot behind each parapodium, paired spots connected by a dorsal cross-bar; tube encrusted with debris, coarse sand, or mud. The prostomium With distinct eyes; frontal antennae subulate; occipital antennae fairly long, borne on ceratophores with 6 to 7 rings, sometimes with short lateral projections. The setae Anterior setigers (1 to 3/4) with capillaries and pseudocompound hooks that are bidentate and hooded; posterior setigers lack hooks, with capillaries developing broader wings, and comb-setae plus bidentate acicular setae appearing. The parapodia First three setigers each with cirriform dorsal and ventral cirri and a tapered postsetal lobe; later parapodia simpler. The branchiae Begin on setiger 5 and extend to setiger 20 to 30; anterior branchiae well developed with spirally arranged filaments, posterior ones progressively reduced to 1 to 2 filaments. Identify the polychaete species.",Epidiopatra hupferiana hupferiana,Epidiopatra hupferiana hupferiana,[chunk_000224]
"If the diagnostic characters are as follows The body Small, ~35 mm long; tube fragile, of mud with large projecting shell fragments; pigmentation variable, anterior segments often brown, ventral cirri white with a mid-ventral pale streak. The prostomium Frontal antennae reduced to flattened expansions of the prostomium; occipital antennae on short, ringed ceratophores with lateral lobes on five rings. The setae Anterior pseudocompound setae hooded and strongly bidentate; winged capillaries with serrated blades present; bidentate acicular setae from setiger 10; comb-setae with 18 to 20 teeth from setiger 15. The branchiae Begin on setiger 5; weakly developed with 2 to 3 whorls of filaments; disappear by about setiger 30. The jaws Poorly developed; mandibles with straight, tapered shafts. The ontogeny Juveniles lack tentacular cirri until relatively late development. Identify the polychaete species.",Diopatra dubia,"Diopatra dubia Day, 1960.",[chunk_000225]
"If the diagnostic characters are as follows The body Large, 100 to 150 mm long; tube sausage-like, of hardened mud without shell fragments; anterior region brown with a darker spot behind the median occipital antenna and dark transverse bars on anterior branchiferous segments. The prostomium Frontal antennae subulate; median occipital antenna borne on a ceratophore with 6 to 8 rings. The setae Anterior pseudocompound setae hooded and strongly bidentate; comb-setae appear on setigers 6 to 8 with 15 to 25 teeth; bidentate acicular setae appear around setiger 16. The branchiae Begin on setiger 5; filaments fairly long and well developed. The jaws Mandibles dark, thickened, often sausage-shaped in adults. Identify the polychaete species.",Diopatra monroi,"Diopatra monroi Day, 1960.",[chunk_000226]
"If the diagnostic characters are as follows The body Medium-sized, up to ~50 mm long; anterior region brown, without distinct colour pattern; tube with projecting shell fragments. The prostomium Frontal antennae subulate; median occipital antenna borne on a ceratophore with ~10 smooth rings. The setae Anterior pseudocompound setae hooded and strongly bidentate; comb-setae with 15 to 25 teeth, blades broad and rolled into a funnel-like form giving the appearance of a single broad central tooth. The branchiae Well developed, with fairly long filaments. The jaws Mandibles with straight, tapered shafts. Identify the polychaete species.",Diopatra musseraensis,Diopatra musseraensis,[chunk_000227]
"If the diagnostic characters are as follows The body Medium-sized, ~40 to 60 mm long; anterior segments rounded, posterior segments dorsally flattened; anterior region with brown transverse bars; tube reinforced with mud. The prostomium With a pair of minute anterior eyes; occipital antennae long, borne on short ceratophores with ~6 rings. The setae Anterior pseudocompound hooks hooded and tridentate; posterior feet with winged capillaries, comb-setae, and bidentate acicular setae with guards. The branchiae Begin on setiger 6 to 9; increase to a maximum of four filaments; reduced to a single filament after setiger ~40. The jaws Maxillary formula Mx I = 1 + 1; Mx II = 7 + 8; Mx III = 8 + 0; Mx IV = (4 to 6) + (7 to 8). The acicula Yellow. The antennae  cirri Tentacular cirri inserted behind inner lateral antennae, shorter than the peristomial segment; ventral cirri subulate on setigers 1 to 3. Identify the polychaete species.",Paradiopatra quadricuspis,Paradiopatra quadricuspis,[chunk_000228]
"If the diagnostic characters are as follows The body 40 to 150 mm long; body elongate; lives in a characteristically free, flattened tube densely covered with large shell fragments. The prostomium Cordate with a central brown spot; one anterior pair of minute eye spots and a large pair of eyes external to the inner lateral antennae. The setae Anterior setigers (1 to 3 or 1 to 4) with stout pseudocompound or simple hooks, bidentate and usually guarded; from setiger 4 onward smooth-winged capillaries and fine comb-setae with ~10 to 12 teeth; long stout bidentate acicular setae appear around setigers 10 to 15. The branchiae Single branchial filament present from setiger 9 to 13, depending on size. The jaws Mandibles with a weak tooth on the calcareous cutting edge and straight diverging shafts; maxillary formula Mx I = 1 + 1; Mx II = 6 + (6 to 7); Mx III = 8 + 0; Mx IV = (6 to 8) + (8 to 10); Mx V = 0 + 0 (dark, toothless plates). The antennae  ceratophores Ceratophores short with 3 to 4 rings; ceratostyles long, tapered, reaching to about setiger 6. The cirri  parapodia Tentacular segment short but tentacular cirri long, reaching the anterior margin of the prostomium; setigers 1 to 3 greatly enlarged and projecting forward; presetal lamella dorsal and heart-shaped on anterior feet; postsetal lobe elongate and cirriform on setigers 2 to 15, reduced posteriorly; ventral cirri tapered on first 2 to 3 feet, then swollen and cushion-like; dorsal cirri elongate anteriorly, reduced posteriorly. Identify the polychaete species.",Nothria conchylega,"Nothria conchylega Sars, 1835",[chunk_000229]
"If the diagnostic characters are as follows The body Large, elongate; ~100 to 350 mm long. The prostomium Rounded; two pairs of eyes, outer pair larger. The setae Fine tapered capillaries present throughout; posterior feet with two yellow acicular setae, bidentate. The parapodia Uniform throughout; dorsal cirrus flattened and strap-like, constricted at base; presetal lobe short and rounded; postsetal lobe longer. The antennae Three stout antennae, much shorter than the prostomium and often hidden by a biannulate peristomial fold. The jaws Mandibles well chitinised; maxillae with long slender supports and a faint dagger-shaped median piece; jaws often asymmetrical with the first tooth much larger than the rest; maxillary formula Mx I = 12 (or 7+5) + 7; Mx II = 9 + 15; Mx III = 6 + 5; Mx IV = 6 + 6; Mx V = 1 + 1. Identify the polychaete species.",Oenone fulgida,"Oenone fulgida Savigny, 1818",[chunk_000230]
"If the diagnostic characters are as follows The body Slender, cylindrical; up to ~135 mm long and ~3 mm wide with ~110 segments; lumbrinerid-like in appearance. The prostomium Ovoid to rounded; eyes absent; three small antennae recessed in a peristomial pocket. The setae Winged capillaries and compound hooks anteriorly; capillaries with very narrow blades and hooks becoming simple in middle and posterior feet; acicula absent. The parapodia Anterior feet with low presetal lobe and large ear-shaped postsetal lobe; posterior feet with subequal lobes, postsetal lobe bearing a superior point. The jaws Mandibles well developed with short divergent shafts; maxillae of four symmetrical toothed plates with small supports; maxillary formula Mx I = 1 + 1; Mx II = 3 + 3; Mx III = 2 + 2; Mx IV = 1 + 1 (rectangular, toothless plates). The peristomium Peristomium and following segment apodous and achaetous; paired buccal cushions present anterior to mouth. Identify the polychaete species.",Augneria tentaculata,"Augneria tentaculata Monro, 1930",[chunk_000231]
"If the diagnostic characters are as follows The body Slender; up to ~100 mm long. The prostomium Conical. The setae Anterior feet with long winged capillaries and short-bladed compound hooks (from setigers 1 to 4 to ~12 to 15); posterior feet with simple hooks only. The parapodia Presetal lobe low and rounded throughout; postsetal lobe conical and compressed anteriorly, becoming shorter posteriorly and nearly equal to the presetal lobe. The jaws Maxillary formula Mx I = 1+1; Mx II = 4+4; Mx III = curved cutting plate without a distinct tooth; Mx IV = 1+1; maxillary supports short and broad. The acicula Yellow. Identify the polychaete species.",Lumbrineris magalhaensis,"Lumbrineris magalhaensis Kinberg, 1865",[chunk_000232]
"If the diagnostic characters are as follows The body Slender; ~20 mm long with ~120 segments; pale yellow. The prostomium Bluntly conical. The setae Anterior feet with ~2 long-bladed compound hooks and 3 to 4 winged capillaries; capillaries disappear before mid-body; hooks become simple after ~10 to 15 segments and persist as 2 to 3 simple hooks to posterior end. The parapodia Anterior feet bilobed with presetal lobe initially smaller but soon equal to postsetal lobe; this condition persists over most of body; mid-body feet reduced; posterior feet with both lobes long and filamentous, presetal lobe slightly longer. The acicula Yellow. The jaws  maxillae Maxillary formula Mx I = 1+1; Mx II = 3+3 (teeth stout, almost bilobed); Mx III = cutting plates without distinct teeth; Mx IV = 1+1 (large, rounded); mandibles poorly calcified with united shafts; maxillary supports broad and triangular. Identify the polychaete species.",Lumbrineris meteorana,"Lumbrineris meteorana Augener, 1931",[chunk_000233]
If the diagnostic characters are as follows The body Elongate; up to ~100 mm; anterior segments swollen in juveniles to accommodate large jaws. The prostomium Conical with a conspicuous nuchal slit at the prostomial to peristomial junction. The setae Winged capillaries from setiger 1 to 50; long compound hooks from setiger 1 to 30; simple hooks plus capillaries from setiger 31 to 50; only simple hooks posteriorly. The parapodia Anterior feet with low presetal and rounded postsetal lobes; middle feet with subequal lobes directed obliquely upward; posterior feet elongate and bilabiate with stout lobes. The acicula Yellow; four per parapodium. The jaws  maxillae Mandibles heavily calcified with widely divergent shafts; maxillae robust with characteristic large white plates on Mx IV bordered in black; maxillary formula Mx I = 1+1; Mx II = (2 to 3)+(2 to 3); Mx III = 2+2; Mx IV = indistinct paired plates; maxillary supports long and triangular. Identify the polychaete species.,Lumbrineris albidentata,Lumbrineris albidentata,[chunk_000234]
"If the diagnostic characters are as follows The body Slender; ~50 to 70 mm long. The prostomium Conical. The setae Slender capillaries present to mid-body; long-bladed simple hooks appear within first ~10 setigers and persist posteriorly, with blades shortening toward the rear. The parapodia Anterior feet small with rudimentary presetal lobe and deep, compressed postsetal lobe; presetal lobe enlarges posteriorly while postsetal lobe reduces; posterior feet with elongated base and subequal lobes. The acicula Pale throughout (black reported in some Chatham Island material). The jaws  maxillae Maxillary formula Mx I = 1+1; Mx II = 5+5; Mx III = indistinct paired cutting plates; Mx IV = 1+1. Identify the polychaete species.",Lumbrineris brevicirra,Lumbrineris brevicirra,[chunk_000235]
"If the diagnostic characters are as follows The body Small; ~20 mm long; body short and orange. The prostomium Spherical, conspicuously white. The setae Winged capillaries present in first ~30 to 40 feet; hooded compound (or incompletely compound) hooks appear in first 3 to 4 feet, becoming simple posteriorly and persisting to the end. The parapodia Anterior feet with low rounded presetal lobe and a longer but similar postsetal lobe; setae always exceed postsetal lobe length. The acicula Yellow. The jaws  maxillae Maxillary formula Mx I = 1+1; Mx II = 4 to 5 + 4 to 5; Mx III = 3 to 4 + 3 to 4; Mx IV = 2+2; maxillary supports long. Identify the polychaete species.",Lumbrineris inflata,"Lumbrineris inflata Moore, 1911",[chunk_000236]
